id,lactation_1,lactation_2,lactation_3,lactation_4,lactation_5,lactation_6,lactation_7,lactation_8,lactation_9,total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,milk_days_1,milk_days_2,milk_days_3,milk_days_4,milk_days_5,milk_days_6,milk_days_7,milk_days_8,milk_days_9,vaca_x,mastitis_lac_1,mastitis_lac_2,mastitis_lac_3,mastitis_lac_4,mastitis_lac_5,mastitis_lac_6,mastitis_lac_7,mastitis_lac_8,mastitis_lac_9,vaca_y,inseminacion_lac_1,inseminacion_lac_2,inseminacion_lac_3,inseminacion_lac_4,inseminacion_lac_5,inseminacion_lac_6,inseminacion_lac_7,inseminacion_lac_8,inseminacion_lac_9,abortos_Lac_1,abortos_lac_2,abortos_lac_3,abortos_lac_4,abortos_lac_5,abortos_lac_6,abortos_lac_7,abortos_lac_8,abortos_lac_9
1727,1,1,1,1,1,1,0,0,0,9630,11005,12363,9777,7780,8355,0,0,0,305,312,286,284,262,209,0,0,0,1727,0,0,1,0,0,0,-1,-1,-1,1727,2,2,2,1,1,4,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1
1791,1,1,1,1,1,1,0,0,0,8243,10971,12864,11405,10722,5966,0,0,0,274,312,353,438,297,130,0,0,0,1791,1,0,0,0,0,0,-1,-1,-1,1791,1,3,3,4,1,1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1
1853,1,1,1,1,1,1,0,0,0,10267,12616,11521,14884,10967,6968,0,0,0,324,312,283,370,310,137,0,0,0,1853,0,0,0,0,0,0,-1,-1,-1,1853,3,2,1,3,1,1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
1892,1,1,1,1,1,1,0,0,0,13109,10482,9651,9797,9273,5859,0,0,0,518,276,266,286,285,217,0,0,0,1892,1,0,0,0,1,1,-1,-1,-1,1892,8,1,1,1,2,6,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
1915,1,1,1,1,1,1,0,0,0,8061,10411,10828,13296,12055,6242,0,0,0,287,270,286,370,392,147,0,0,0,1915,0,0,0,1,1,0,-1,-1,-1,1915,1,1,1,4,5,3,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
1916,1,1,1,1,1,0,0,0,0,18130,13591,13177,14425,8101,0,0,0,0,619,317,361,401,187,0,0,0,0,1916,0,0,0,0,0,-1,-1,-1,-1,1916,8,1,5,4,1,-1,-1,-1,-1,1,0,0,0,0,-1,-1,-1,-1
1937,1,1,1,1,1,0,0,0,0,11214,15355,15201,13575,8218,0,0,0,0,322,449,370,365,170,0,0,0,0,1937,0,0,0,1,0,-1,-1,-1,-1,1937,3,5,3,2,2,-1,-1,-1,-1,0,1,0,0,1,-1,-1,-1,-1
1968,1,1,1,1,0,0,0,0,0,16075,16945,18838,13954,0,0,0,0,0,534,490,588,295,0,0,0,0,0,1968,0,0,1,0,-1,-1,-1,-1,-1,1968,9,6,7,2,-1,-1,-1,-1,-1,1,0,0,0,-1,-1,-1,-1,-1
2028,1,1,1,1,0,0,0,0,0,2833,10093,11391,904,0,0,0,0,0,255,270,343,27,0,0,0,0,0,2028,0,0,0,0,-1,-1,-1,-1,-1,2028,0,1,4,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
2045,1,1,1,1,1,1,0,0,0,10097,12204,11127,7904,14095,28,0,0,0,340,357,273,285,442,31,0,0,0,2045,0,0,0,0,0,0,-1,-1,-1,2045,4,3,1,1,7,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
2063,1,1,1,0,0,0,0,0,0,12435,10929,2256,0,0,0,0,0,0,477,316,59,0,0,0,0,0,0,2063,0,0,0,-1,-1,-1,-1,-1,-1,2063,4,1,1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1
2104,1,1,1,1,1,1,0,0,0,9699,12213,12357,13935,11330,9462,0,0,0,288,321,299,367,275,178,0,0,0,2104,0,2,2,1,1,0,-1,-1,-1,2104,2,3,2,2,1,2,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
2107,1,1,1,0,0,0,0,0,0,10669,13550,2582,0,0,0,0,0,0,467,344,86,0,0,0,0,0,0,2107,0,0,0,-1,-1,-1,-1,-1,-1,2107,5,3,2,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1
2110,1,1,1,0,0,0,0,0,0,12458,8719,4224,0,0,0,0,0,0,486,319,96,0,0,0,0,0,0,2110,0,3,0,-1,-1,-1,-1,-1,-1,2110,4,1,2,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1
2143,1,1,1,1,1,0,0,0,0,13165,15217,11548,15973,10376,0,0,0,0,400,395,275,448,355,0,0,0,0,2143,0,3,3,0,4,-1,-1,-1,-1,2143,4,4,1,5,1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
2146,1,1,1,1,1,0,0,0,0,12322,17581,16950,12154,10893,0,0,0,0,376,486,421,278,305,0,0,0,0,2146,0,0,0,1,9,-1,-1,-1,-1,2146,3,5,3,1,3,-1,-1,-1,-1,0,1,1,0,1,-1,-1,-1,-1
2156,1,1,1,0,0,0,0,0,0,11008,9632,5012,0,0,0,0,0,0,477,287,122,0,0,0,0,0,0,2156,0,2,1,-1,-1,-1,-1,-1,-1,2156,2,1,2,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1
2172,1,1,1,0,0,0,0,0,0,8628,10377,19,0,0,0,0,0,0,443,332,110,0,0,0,0,0,0,2172,0,0,0,-1,-1,-1,-1,-1,-1,2172,5,2,1,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1
2248,1,1,0,0,0,0,0,0,0,13792,12005,0,0,0,0,0,0,0,510,394,0,0,0,0,0,0,0,2248,0,0,-1,-1,-1,-1,-1,-1,-1,2248,4,7,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
2252,1,1,1,0,0,0,0,0,0,14971,11819,5441,0,0,0,0,0,0,448,283,102,0,0,0,0,0,0,2252,0,0,0,-1,-1,-1,-1,-1,-1,2252,3,1,1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1
2272,1,1,1,0,0,0,0,0,0,6844,10851,6055,0,0,0,0,0,0,283,413,136,0,0,0,0,0,0,2272,0,0,0,-1,-1,-1,-1,-1,-1,2272,1,6,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
2298,1,1,1,1,0,0,0,0,0,14616,13512,13663,12859,0,0,0,0,0,532,326,480,331,0,0,0,0,0,2298,1,0,0,0,-1,-1,-1,-1,-1,2298,9,3,8,4,-1,-1,-1,-1,-1,2,0,0,1,-1,-1,-1,-1,-1
2311,1,1,1,1,1,1,0,0,0,7749,13587,12437,13090,11196,2518,0,0,0,267,376,383,392,289,64,0,0,0,2311,0,1,1,1,0,1,-1,-1,-1,2311,1,3,3,4,1,1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
2320,1,1,1,1,1,1,0,0,0,7222,11365,10391,10305,10701,5397,0,0,0,267,468,277,306,315,141,0,0,0,2320,1,0,0,0,0,1,-1,-1,-1,2320,1,3,1,2,2,1,-1,-1,-1,0,1,0,0,0,0,-1,-1,-1
2325,1,1,0,0,0,0,0,0,0,20633,7745,0,0,0,0,0,0,0,699,153,0,0,0,0,0,0,0,2325,0,0,-1,-1,-1,-1,-1,-1,-1,2325,7,1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1
2328,1,1,0,0,0,0,0,0,0,11603,9649,0,0,0,0,0,0,0,452,273,0,0,0,0,0,0,0,2328,0,0,-1,-1,-1,-1,-1,-1,-1,2328,4,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1
2333,1,1,1,0,0,0,0,0,0,12712,9429,2473,0,0,0,0,0,0,398,283,60,0,0,0,0,0,0,2333,0,0,0,-1,-1,-1,-1,-1,-1,2333,3,1,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1
2342,1,1,0,0,0,0,0,0,0,14706,8528,0,0,0,0,0,0,0,523,210,0,0,0,0,0,0,0,2342,0,0,-1,-1,-1,-1,-1,-1,-1,2342,8,2,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2348,1,1,1,1,1,0,0,0,0,14770,15712,11102,7326,7622,0,0,0,0,561,489,302,324,235,0,0,0,0,2348,0,2,0,0,0,-1,-1,-1,-1,2348,9,3,1,3,5,-1,-1,-1,-1,1,2,0,0,0,-1,-1,-1,-1
2353,1,1,0,0,0,0,0,0,0,11367,9963,0,0,0,0,0,0,0,442,393,0,0,0,0,0,0,0,2353,0,0,-1,-1,-1,-1,-1,-1,-1,2353,2,9,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1
2367,1,1,0,0,0,0,0,0,0,13518,12254,0,0,0,0,0,0,0,497,243,0,0,0,0,0,0,0,2367,1,0,-1,-1,-1,-1,-1,-1,-1,2367,10,7,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2368,1,1,1,1,1,0,0,0,0,9497,10273,8804,17829,12810,0,0,0,0,304,286,288,609,347,0,0,0,0,2368,0,0,0,0,2,-1,-1,-1,-1,2368,2,1,1,6,6,-1,-1,-1,-1,0,0,0,1,0,-1,-1,-1,-1
2370,1,1,1,0,0,0,0,0,0,7076,11469,3125,0,0,0,0,0,0,272,339,74,0,0,0,0,0,0,2370,1,0,0,-1,-1,-1,-1,-1,-1,2370,1,2,1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
2380,1,1,1,1,1,1,0,0,0,11070,13319,13634,15684,14318,7706,0,0,0,280,280,289,400,299,180,0,0,0,2380,0,0,0,0,0,0,-1,-1,-1,2380,1,1,1,4,2,5,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
2415,1,1,0,0,0,0,0,0,0,14709,10321,0,0,0,0,0,0,0,553,214,0,0,0,0,0,0,0,2415,0,0,-1,-1,-1,-1,-1,-1,-1,2415,11,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2420,1,1,0,0,0,0,0,0,0,13194,9925,0,0,0,0,0,0,0,492,254,0,0,0,0,0,0,0,2420,0,0,-1,-1,-1,-1,-1,-1,-1,2420,9,4,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2426,1,1,1,0,0,0,0,0,0,8870,10063,0,0,0,0,0,0,0,299,284,12,0,0,0,0,0,0,2426,0,0,0,-1,-1,-1,-1,-1,-1,2426,2,1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
2436,1,1,0,0,0,0,0,0,0,11931,9854,0,0,0,0,0,0,0,468,259,0,0,0,0,0,0,0,2436,1,0,-1,-1,-1,-1,-1,-1,-1,2436,7,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2448,1,1,1,1,1,0,0,0,0,11074,11423,11243,11433,13488,0,0,0,0,397,347,288,343,447,0,0,0,0,2448,0,0,0,1,0,-1,-1,-1,-1,2448,5,5,1,3,7,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
2455,1,1,0,0,0,0,0,0,0,9801,11225,0,0,0,0,0,0,0,367,313,0,0,0,0,0,0,0,2455,0,0,-1,-1,-1,-1,-1,-1,-1,2455,4,6,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
2459,1,1,1,1,1,0,0,0,0,11011,12344,16032,9461,9793,0,0,0,0,320,340,479,284,308,0,0,0,0,2459,0,0,2,0,1,-1,-1,-1,-1,2459,2,2,8,1,5,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
2462,1,1,1,1,1,1,0,0,0,7336,10027,10267,9524,9045,8106,0,0,0,278,298,308,292,308,227,0,0,0,2462,0,0,0,0,0,0,-1,-1,-1,2462,1,2,2,1,2,3,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1
2474,1,1,0,0,0,0,0,0,0,10785,7585,0,0,0,0,0,0,0,353,214,0,0,0,0,0,0,0,2474,0,0,-1,-1,-1,-1,-1,-1,-1,2474,3,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1
