total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,total,index
9581,13973,11540,8203,0,0,0,0,0,43297,0
11304,22408,15146,0,0,0,0,0,0,48858,0
11077,13140,10848,10828,0,0,0,0,0,45893,0
8594,8996,14252,11579,0,0,0,0,0,43421,0
7674,10868,11104,12867,3773,0,0,0,0,46286,0
9688,10096,16381,12903,0,0,0,0,0,49068,0
17830,14653,10084,0,0,0,0,0,0,42567,0
10938,16089,13016,0,0,0,0,0,0,40043,0
8953,10519,9261,8793,0,0,0,0,0,37526,0
9143,9078,10831,9946,0,0,0,0,0,38998,0
8474,11960,9976,10473,0,0,0,0,0,40883,0
11109,13226,11616,9469,0,0,0,0,0,45420,0
11518,16220,15199,0,0,0,0,0,0,42937,0
10987,12282,11454,7025,0,0,0,0,0,41748,0
9683,12564,10996,3449,0,0,0,0,0,36692,0
8988,8935,14295,11900,0,0,0,0,0,44118,0
8381,11876,10904,12638,0,0,0,0,0,43799,0
11059,18189,10610,7839,0,0,0,0,0,47697,0
13849,11471,9790,6455,0,0,0,0,0,41565,0
8421,11562,13319,6798,0,0,0,0,0,40100,0
12356,9609,8353,9618,0,0,0,0,0,39936,0
11456,12254,12518,9129,0,0,0,0,0,45357,0
8392,10917,15656,6756,0,0,0,0,0,41721,0
7305,10305,13061,10951,0,0,0,0,0,41622,0
11619,11244,10538,7078,0,0,0,0,0,40479,0
15987,15712,14655,0,0,0,0,0,0,46354,0
15454,11043,11688,6498,0,0,0,0,0,44683,0
7151,11768,11157,9631,916,0,0,0,0,40623,0
15609,11589,8600,11941,0,0,0,0,0,47739,0
8789,9375,13801,11151,0,0,0,0,0,43116,0
8576,12636,9602,9628,0,0,0,0,0,40442,0
12269,14271,12538,9016,0,0,0,0,0,48094,0
11850,11754,12555,0,0,0,0,0,0,36159,0
13836,13543,11071,7582,0,0,0,0,0,46032,0
8113,13483,10679,12192,0,0,0,0,0,44467,0
10425,14827,9926,7487,0,0,0,0,0,42665,0
8534,19815,14312,0,0,0,0,0,0,42661,0
9155,11524,12001,7776,0,0,0,0,0,40456,0
8037,12250,11192,10847,0,0,0,0,0,42326,0
11647,13865,11563,2178,0,0,0,0,0,39253,0
8903,18274,10966,0,0,0,0,0,0,38143,0
13888,11540,10917,7093,0,0,0,0,0,43438,0
10795,18926,15052,0,0,0,0,0,0,44773,0
9116,15755,16468,2537,0,0,0,0,0,43876,0
8871,12273,11619,6289,0,0,0,0,0,39052,0
11194,15885,11029,11920,0,0,0,0,0,50028,0
9731,19094,13219,0,0,0,0,0,0,42044,0
12715,14915,11564,0,0,0,0,0,0,39194,0
16873,19877,9102,0,0,0,0,0,0,45852,0
10196,11697,11799,12120,0,0,0,0,0,45812,0
7767,12340,10012,10441,0,0,0,0,0,40560,0
12194,14801,10579,7732,0,0,0,0,0,45306,0
9588,13502,11858,8525,0,0,0,0,0,43473,0
10302,14185,15855,999,0,0,0,0,0,41341,0
12553,11484,13625,8004,0,0,0,0,0,45666,0
8656,10589,9424,7101,0,0,0,0,0,35770,0
10016,12674,10051,9316,0,0,0,0,0,42057,0
10758,10804,12154,7290,0,0,0,0,0,41006,0
9702,15970,11255,6948,0,0,0,0,0,43875,0
9318,8101,14359,2998,0,0,0,0,0,34776,0
8508,14276,9387,6271,0,0,0,0,0,38442,0
10097,11715,11092,0,0,0,0,0,0,32904,0
8815,13076,9743,6876,0,0,0,0,0,38510,0
9000,21197,14645,0,0,0,0,0,0,44842,0
9687,11410,11323,8021,0,0,0,0,0,40441,0
10296,21349,12724,0,0,0,0,0,0,44369,0
12073,19379,14565,0,0,0,0,0,0,46017,0
13021,11272,11590,5413,0,0,0,0,0,41296,0
7888,9430,10996,13026,0,0,0,0,0,41340,0
7261,11215,10752,10217,0,0,0,0,0,39445,0
8890,11098,11719,8531,0,0,0,0,0,40238,0
8462,14507,11042,3383,0,0,0,0,0,37394,0
13176,17357,12719,0,0,0,0,0,0,43252,0
10239,15140,13135,3860,0,0,0,0,0,42374,0
7856,8892,10352,9281,0,0,0,0,0,36381,0
14467,14299,10488,0,0,0,0,0,0,39254,0
9979,13921,13556,7530,0,0,0,0,0,44986,0
15265,11082,10356,4182,0,0,0,0,0,40885,0
10752,13567,10744,10114,0,0,0,0,0,45177,0
10966,9402,12423,11515,0,0,0,0,0,44306,0
8477,11353,10716,10974,0,0,0,0,0,41520,0
11297,11107,13680,3108,0,0,0,0,0,39192,0
7723,11392,11009,6778,0,0,0,0,0,36902,0
9130,11372,12521,4849,0,0,0,0,0,37872,0
11939,17925,12662,0,0,0,0,0,0,42526,0
13624,18465,9766,0,0,0,0,0,0,41855,0
