Cow,ID_Cow_Bracelet_Podometer,Patio,Gynecological_Status,Birth_Date,Daily_Production,Average_Daily_Production_Days,Average_Daily_Production_Percentage,Lactation_Number,Milk_Days,Days_After_Heat,Insemination,Days_After_Insemination,Pregnacy_Days,Inseminator_Name,Bull_Name,Number_of_Abortions,Insemination_Date,Production_Peak,Previous_Lactation_Production,Actual_Lactation_Production
10118,8016,18,Pregnacy,12/26/2021,45.4,43.7,4,2,101,48,1,48,48,CARLOS-JEHU,FASTDRAW,0,2/17/2022,0,5151,3861
10122,8069,19,Insemination,1/15/2022,40.1,37.9,6,2,81,11,2,11,0,CARLOS-URIEL,SCORPIO,0,3/26/2022,0,7058,2839
10124,4591,20,Heat,2/4/2022,51.7,50.3,3,2,61,34,0,0,0,0,0,0,0,0,8857,2696
10125,6986,14,Pregnacy,1/22/2021,0,0,0,1,439,22,9,148,148,CARLOS-URIEL,UNCHARTED,0,11/9/2021,45.8,0,6607
10127,7853,18,Pregnacy,12/18/2021,24.1,47.9,-50,2,109,42,1,42,42,CARLOS-JEHU,KEYNOTE,0,2/23/2022,0,8184,5020
10128,8005,18,Pregnacy,12/25/2021,42.6,43.6,-2,2,102,47,1,47,47,CARLOS-JEHU,MUSTSEE,0,2/18/2022,0,7069,3902
10130,7918,18,Insemination,12/22/2021,50,48.3,3,2,105,8,2,8,0,CARLOS-JEHU,MUSTSEE,0,3/29/2022,0,7973,4829
10131,0,21,Labor,4/5/2022,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7371,0
10133,6029,16,Pregnacy,2/28/2021,16.4,17.7,-7,1,402,180,7,180,180,MIGUEL-MAURICIO,MARADONA,0,10/8/2021,50.8,0,13511
10134,5767,19,Insemination,1/10/2022,40.6,40.3,1,2,86,11,2,11,0,CARLOS-URIEL,SCORPIO,0,3/26/2022,0,8010,3244
10135,5929,20,Heat,2/8/2022,45.7,41.9,9,2,57,33,0,0,0,0,0,0,0,0,7736,2105
10136,7582,18,Heat,1/1/2022,58.3,48.8,19,2,95,63,0,0,0,0,0,0,0,0,7882,4888
10137,6316,19,Insemination,1/22/2022,48.8,48,2,2,74,19,1,19,0,CARLOS-JEHU,FALCO,0,3/18/2022,0,9133,3192
10139,5407,17,Pregnacy,11/24/2021,46.5,44.2,5,2,133,69,1,69,69,CARLOS-JEHU,FASTDRAW,0,1/27/2022,0,6154,4430
10140,7496,30,Pregnacy,4/21/2021,17.1,19,-10,1,350,166,7,166,166,MIGUEL-MAURICIO,SILVER INFOCUS,0,10/22/2021,34.4,0,9709
10143,7985,18,Insemination,12/29/2021,42.2,39.9,6,2,98,22,2,22,0,CARLOS-JEHU,OGDEN,0,3/15/2022,0,6972,3712
10144,2331,19,Insemination,1/9/2022,65.6,61.5,7,2,87,5,1,5,0,CARLOS-JEHU,FALCO,0,4/1/2022,0,9724,4988
10145,6538,17,Insemination,11/21/2021,34.4,32.3,7,2,136,35,3,35,0,MVZ ROGELIO-JEHU,MUSTSEE,0,3/2/2022,0,6100,4092
10146,7728,17,Insemination,12/12/2021,42,42.7,-2,2,115,62,1,62,0,CARLOS-JEHU,KEYNOTE,0,2/3/2022,0,7887,4661
10147,5741,19,Insemination,1/22/2022,43.9,45.4,-3,2,74,19,1,19,0,CARLOS-JEHU,FALCO,0,3/18/2022,0,6921,2866
10148,5723,19,Labor,1/16/2022,55,48.5,13,2,80,0,0,0,0,0,0,0,0,0,7534,3566
10150,5533,12,Pregnacy,7/11/2021,37.5,36.6,2,1,269,143,1,143,143,MIGUEL-JAIME,501HO15427,0,11/14/2021,36.4,0,8567
10151,6936,12,Pregnacy,7/11/2021,34.4,29.8,15,1,269,163,3,163,163,MIGUEL-JAIME,UNCHARTED,0,10/25/2021,41,0,9623
10152,6772,17,Insemination,11/23/2021,43.3,45.4,-5,2,134,11,2,11,0,CARLOS-URIEL,MUSTSEE,0,3/26/2022,0,7016,5198
10153,7735,18,Insemination,12/21/2021,22.3,36.9,-40,2,106,39,2,39,0,CARLOS-URIEL,KEYNOTE,0,2/26/2022,0,6937,4355
10155,1788,19,Heat,1/8/2022,49.4,42.7,16,2,88,16,1,38,0,URIEL-JEHU,MARADONA,0,2/27/2022,0,8552,3289
10159,7439,21,Labor,3/10/2022,34,43.9,-22,2,27,0,0,0,0,0,0,0,0,0,8314,998
