,id,lactation_1,lactation_2,lactation_3,lactation_4,lactation_5,lactation_6,lactation_7,lactation_8,lactation_9,total_production_1,total_production_2,total_production_3,total_production_4,total_production_5,total_production_6,total_production_7,total_production_8,total_production_9,milk_days_1,milk_days_2,milk_days_3,milk_days_4,milk_days_5,milk_days_6,milk_days_7,milk_days_8,milk_days_9,abortos_Lac_1,abortos_lac_2,abortos_lac_3,abortos_lac_4,abortos_lac_5,abortos_lac_6,abortos_lac_7,abortos_lac_8,abortos_lac_9
130,2493,1,1,0,0,0,0,0,0,0,11330,7165,0,0,0,0,0,0,0,340,291,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
131,2499,1,1,0,0,0,0,0,0,0,7481,4646,0,0,0,0,0,0,0,320,219,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
132,2510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
133,2511,1,1,1,1,1,1,0,0,0,10577,12503,13668,11883,13544,2893,0,0,0,322,345,330,283,340,78,0,0,0,0,0,0,0,0,0,-1,-1,-1
134,2513,1,1,0,0,0,0,0,0,0,9801,7300,0,0,0,0,0,0,0,371,185,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
135,2514,1,1,0,0,0,0,0,0,0,7700,12425,0,0,0,0,0,0,0,292,357,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
136,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1
137,2520,1,1,0,0,0,0,0,0,0,9142,5723,0,0,0,0,0,0,0,331,224,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1
138,2523,1,1,0,0,0,0,0,0,0,7768,10263,0,0,0,0,0,0,0,290,281,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
139,2533,1,1,0,0,0,0,0,0,0,11808,1033,0,0,0,0,0,0,0,494,30,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
140,2538,1,1,1,1,1,0,0,0,0,10248,11456,15144,17187,7853,0,0,0,0,302,274,511,540,152,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
141,2541,1,1,0,0,0,0,0,0,0,10141,12273,0,0,0,0,0,0,0,332,286,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1
142,2545,1,1,0,0,0,0,0,0,0,9962,9839,0,0,0,0,0,0,0,377,237,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
143,2547,1,1,0,0,0,0,0,0,0,7656,9460,0,0,0,0,0,0,0,287,326,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
144,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
145,2554,1,1,1,1,1,1,0,0,0,11818,9902,9894,11878,11841,901,0,0,0,411,278,314,316,384,25,0,0,0,0,0,0,0,0,0,-1,-1,-1
146,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
147,2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
148,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
149,2575,1,1,0,0,0,0,0,0,0,7876,9607,0,0,0,0,0,0,0,272,250,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
150,2576,1,1,0,0,0,0,0,0,0,9060,7064,0,0,0,0,0,0,0,306,211,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
151,2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,-1,-1,-1,-1,-1,-1
152,2597,1,1,0,0,0,0,0,0,0,8575,9442,0,0,0,0,0,0,0,317,281,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
