"vaca","estado","estado_ginecol","fecha_de_naci","lact_n","del","inseminacion_lac_1","inseminacion_lac_2","inseminacion_lac_3","inseminacion_lac_4","inseminacion_lac_5","inseminacion_lac_6","inseminacion_lac_7","inseminacion_lac_8","inseminacion_lac_9"
7035,"ordeno","prenez","10/12/2015",5,300,1,2,1,1,3,-1,-1,-1,-1
7036,"ordeno","prenez","6/17/2014",6,192,7,3,2,2,5,1,-1,-1,-1
7038,"ordeno","inseminacion","9/21/2015",5,189,3,3,1,1,5,-1,-1,-1,-1
7046,"ordeno","prenez","9/16/2015",5,180,3,2,3,2,3,-1,-1,-1,-1
7048,"ordeno","prenez","10/3/2017",3,243,2,1,1,-1,-1,-1,-1,-1,-1
7051,"ordeno","prenez","10/22/2015",5,157,1,1,5,1,1,-1,-1,-1,-1
7053,"ordeno","prenez","10/3/2017",2,425,4,6,-1,-1,-1,-1,-1,-1,-1
7056,"ordeno","prenez","10/4/2017",3,257,2,1,6,-1,-1,-1,-1,-1,-1
7057,"ordeno","prenez","10/4/2017",3,214,2,4,1,-1,-1,-1,-1,-1,-1
7058,"seca","prenez","10/4/2017",2,457,6,5,-1,-1,-1,-1,-1,-1,-1
7059,"ordeno","prenez","10/4/2017",3,220,1,3,1,-1,-1,-1,-1,-1,-1
7060,"ordeno","inseminacion","10/4/2017",2,228,12,7,-1,-1,-1,-1,-1,-1,-1
7064,"ordeno","prenez","10/4/2017",3,294,1,1,3,-1,-1,-1,-1,-1,-1
7066,"ordeno","prenez","10/5/2017",3,283,1,2,3,-1,-1,-1,-1,-1,-1
7068,"ordeno","inseminacion","10/5/2017",2,293,11,8,-1,-1,-1,-1,-1,-1,-1
7071,"ordeno","prenez","8/7/2015",5,199,3,2,2,1,4,-1,-1,-1,-1
7074,"ordeno","prenez","9/11/2015",5,406,1,2,2,9,5,-1,-1,-1,-1
7076,"seca","prenez","10/18/2015",4,292,5,5,4,1,-1,-1,-1,-1,-1
7088,"ordeno","prenez","10/7/2017",3,268,1,1,3,-1,-1,-1,-1,-1,-1
7094,"ordeno","prenez","10/7/2017",3,256,1,3,2,-1,-1,-1,-1,-1,-1
7097,"ordeno","parto","10/8/2017",3,20,2,5,0,-1,-1,-1,-1,-1,-1
7099,"seca","prenez","10/20/2015",5,271,2,1,2,1,1,-1,-1,-1,-1
7100,"ordeno","inseminacion","10/5/2015",5,141,3,2,1,4,3,-1,-1,-1,-1
7101,"ordeno","prenez","10/8/2017",3,282,2,1,2,-1,-1,-1,-1,-1,-1
7104,"ordeno","prenez","10/9/2017",3,250,1,1,2,-1,-1,-1,-1,-1,-1
7105,"ordeno","prenez","10/9/2017",3,235,2,1,3,-1,-1,-1,-1,-1,-1
7107,"seca","prenez","4/8/2014",5,347,9,5,1,3,2,-1,-1,-1,-1
7108,"ordeno","para_no_inseminar","10/9/2017",2,491,3,4,-1,-1,-1,-1,-1,-1,-1
7110,"ordeno","prenez","10/6/2015",5,186,3,1,2,2,1,-1,-1,-1,-1
7112,"ordeno","prenez","8/24/2015",5,176,2,3,2,2,2,-1,-1,-1,-1
7116,"ordeno","inseminacion","10/21/2015",5,274,2,1,1,2,6,-1,-1,-1,-1
